Entity,Whilte_list
Management ’s Discussion and Analysis,X
BlackBerry,X
Significant Technologies,O
Phonak International,O
Advanced Communications and Gennum Product,X
Truesense,O
Standard & Poor ’s,X
EPON,X
EPA,X
Thailand,X
EFM32,X
"Platform of Things , Software and Services",X
"Motorola, Inc",O
AMIS,O
www.sec.gov,X
Candescent Technologies Corporation,O
Matsushita,O
Foxconn Inc,X
"New , Base and Support Products",X
Infineon Technologies AG,O
DGX-1,X
Zynq,X
Simplicity Studio ™,X
Broadband and Wireless,X
"Cypress , Inc",X
Inphi,X
HEVC,X
Qualcomm Government Technologies  Division,X
"Hon Hai Precision Industry Co., Ltd",O
Taiwan Semiconductor Manufacturing Co,O
Environmental Protection Agency,X
Beijing UniSpreadtrum Technology Ltd,X
GRACE / HHNEC,X
Tektronix,X
"Manufacturing Company, Limited",O
Financial Accounting Standards Board 's,X
Renesas,X
"vivo Communication Technology Co. , Ltd",X
VISION,X
"EnVerv, Inc",O
Core,X
"Qorvo, Inc",O
Tektronix Corporation,O
Oak Ridge National Laboratory,X
LSI Logic Corporation,O
Oppo,O
Multi-Protocol,X
Management ’s Discussion and Analysis of Financial Condition and Results of Operations,X
Taiwan,X
"MediaTek , Inc",X
Borrower,X
Corporate Controller and Tax,X
Home and Networking,X
IMFT,O
SMIC,O
TDK,O
GLONASS,X
EBT,X
Powerline Optical Networking,X
National Semiconductor Corp,O
Tianjin Haiguang Advanced Technology Investment Co . Ltd,X
HiSilicon,X
Xyratex Ltd,O
DSP Group,O
Broadcom Foundation,O
PDC,X
Syracuse,X
KSS,O
"Amalfi Semiconductor , Inc",X
Samsung Electronics Co . Ltd,X
"Northrop Technologies , Inc",X
Semtech Canada Inc,O
Advanced Semiconductor Engineering,O
National Science Foundation,X
FilterCo,X
AMD Micro Devices Export Sdn,X
Xbox360,X
Hewlett - Packard Company,X
Qualcomm Retail Solutions  Division,X
Top500,X
Knowledge-Based,X
HK Towada Electronics,O
"Marvell Semiconductor, Inc",O
