Entity,Whilte_list
Tsinghua Unigroup Ltd,O
Opening,X
"Avnet , Inc",X
Netflix,X
Strategic Investments,O
VISION Pro Technology,X
Semtech Corporation,O
Huawei Technologies Co. Ltd,O
City,X
Lam Research Corporation,O
China,X
OFDMA,X
Diodes Incorporated,O
"Nantong Fujitsu Microelectronics , Co. , Ltd",X
"Sound Design Technologies , Ltd",X
GF and Chartered,X
Mobile and Wireless  Solutions for the Hand  and Infrastructure and Networking,X
"Veeco Instruments, Inc",O
Leshan-Phoenix Semiconductor Company Limited,O
Bloomberg,X
NPD,O
R & D,X
Virtex-E,X
QRS,X
Beceem,O
TD - SCDMA,X
Catalyst,X
G-Series,X
Intel,O
IRS,X
Global System for Mobile Communication,X
Microsoft Corporation,O
JVs’,X
Cloud,X
Nanya Technology Corporation,O
Human,X
Hyundai,X
Cypress,X
Jefferies Finance LLC,O
VIVO,O
Wi-Fi,X
Internet,X
Gennum Product Group Thunderbolt,X
ARM Technology Group,X
UNIX,X
Our Audit Committee,X
a Certified Public Accountant,X
Epson,O
Protection,X
Hewlett,X
Monolithic Power Systems,O
Asus Transformer,O
Western Digital,O
Analog Semiconductor Corp,X
Discrete Desktop Graphics,X
Google Cloud,O
Mercury Research,O
IA,O
Maskhouse,X
General Electric Company,O
U,X
PSG,X
Cirrus Fargo Bank,X
Advanced Communications and the Wireless and Sensing,X
"EnVerv , Inc",X
Consumer,X
Vizio,O
GoerTek Semiconductor Corporation,X
"Samsung Electronics Co., Ltd",O
Power - Reliability,X
Samsung  Foundation,X
Heterogeneous System Architecture,X
MobileSmarts,X
Marvell Electronics Co . Ltd,X
ISE,X
"Knowles Instruments , Inc",X
CSG,O
"Mediatek, NEC Corporation",O
ATIC II,O
"Siliconware Precision Industries Co., Ltd",O
Acoustic,X
Beyond Automotive,O
NVIDIA DGX-1,O
Brocade Communication Systems,O
Virtex & Kintex UltraScale,X
Qualcomm Reference Design,O
General Tax Counsel,O
Electro-Optics,X
Japan Sales and Marketing,X
ProSLIC,X
BIP-LSI,X
QCT Engineering,O
"Applied Materials , Inc",X
Non-Volatile Memory Solutions Group,X
Blue,X
ON Semiconductor ’s,X
McAfee Endpoint Security 10.X,X
SCI ’s Semiconductor Components Group,X
Tessera,X
UniSpreadtrum,O
Corporate Law Department,X
"Broadcom Communications , Inc",X
ARMADA,O
Power Line Communication,X
Medical,X
"SANYO Electric Co., Ltd",O
HiSilicon Technology Group Ltd,X
GSMA Foundation,O
NXP Semiconductors N.V. Pursuant,O
Semtech Canada Corporation,O
ST-NXP,X
"AMD International Sales & Service , Ltd",X
A10,X
Moody,O
Athlon,X
A4,X
EZ-Connect,X
R9,X
Open Computing Language,X
Macs,O
Standard and Logic Group,X
Intel Corporation Board of Directors,O
Financial Planning & Analysis,X
"Marvell Technology Group, Ltd",O
China Merchant Bank,X
Ms . Burns,X
ZTE,O
SPE,X
Boston University of Phoenix,X
GaAs,X
MSI ’s Storage,X
M / S B100.2,X
Interim,X
FASB,X
"M Manufacturing Co. , Ltd",X
Corporate,X
Bosch GmbH,O
Code Division Multiple Access,X
Titan,X
Manufacturing and Supply Chain,X
Mindspeed Technology Inc,O
Fab 4 's,X
Sonova,X
Active-Semi,X
Cree,X
ASSP,X
Linear Instruments Incorporated,X
Linear Micro Devices,X
Pascal,X
Channel,X
FX,X
Consumer and Automotive,X
SWRCB,X
Lockheed Missiles and Space Company,O
Itron,O
Chemical University of Cincinnati,X
Samsung Electronics Co. Ltd,O
HSPA,X
International Rectifier Corp,O
Wireless and Sensing,X
FLCTM,X
a Bachelor of Science in Bioengineering,X
a Master of Business Administration,X
"Benchmark Electronic, Flextronics",O
GF,O
"AMIS Holdings , Inc",X
Human and Human Resources,X
DAA,O
Software and Services Group,X
Cloud Computing Platforms,X
CrossFire,X
6th Generation A-Series Processor,X
Marshall Valuation Services,X
Fibre,X
MS,X
Clearwire Corporation,O
Quantum Corp,O
StrataGX,X
NVIDIA Iray,O
"DexCom, Inc",O
SANYO System Solutions Group,X
"Maxim / A-COM Technology Solutions Holdings , Inc",X
Solomon  International,X
"Maxim Integrated Products , Inc",X
Configurable,X
Cisco Systems,O
U.S. Securities and Exchange Commission,X
Guarantors,X
AMD Coast Hitech L.P,X
Electrical Engineering and Computer Science,X
Claremont University of California,X
